Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000000,Male,Yes,0,Graduate,No,10667,8895,111.0,360,1.0,Rural,Y
LP000001,Female,,0,Not Graduate,No,7690,2544,377.0,180,1.0,Semiurban,Y
LP000002,Male,No,3+,Graduate,No,7075,5522,,360,1.0,Rural,Y
LP000003,Male,No,0,Graduate,No,10227,2370,430.0,360,1.0,Rural,Y
LP000004,Male,No,0,Graduate,No,17878,3281,210.0,360,1.0,Rural,Y
LP000005,Male,No,2,Not Graduate,No,4297,4710,115.0,360,1.0,Rural,Y
LP000006,Male,No,0,Not Graduate,No,4631,328,335.0,360,1.0,Semiurban,Y
LP000007,Female,No,2,Graduate,No,17400,5579,288.0,360,0.0,Semiurban,N
LP000008,Male,Yes,0,Graduate,No,19699,4228,69.0,360,1.0,Semiurban,Y
LP000009,,Yes,0,Graduate,Yes,13832,6794,237.0,360,0.0,Semiurban,N
LP000010,Male,Yes,0,Graduate,Yes,9166,120,131.0,360,1.0,Rural,Y
LP000011,Female,,0,Graduate,No,19026,6749,412.0,480,1.0,Rural,Y
LP000012,Female,No,3+,Graduate,No,14979,964,251.0,360,1.0,Semiurban,Y
LP000013,Male,Yes,0,Graduate,No,3910,4224,457.0,180,1.0,Semiurban,Y
LP000014,Male,No,0,Graduate,No,15165,3675,181.0,360,1.0,Semiurban,Y
LP000015,Male,No,0,Graduate,No,3034,5694,86.0,360,1.0,Semiurban,Y
LP000016,Male,Yes,0,Graduate,No,5864,2076,181.0,360,1.0,Semiurban,Y
LP000017,Male,Yes,2,Graduate,No,19916,6865,126.0,360,0.0,Urban,Y
LP000018,Male,No,0,Graduate,No,5842,5643,138.0,360,1.0,Semiurban,Y
LP000019,Male,Yes,1,Not Graduate,No,15965,8524,451.0,480,1.0,Urban,Y
LP000020,Male,No,3+,Graduate,No,7000,5249,302.0,360,1.0,Urban,Y
LP000021,Male,Yes,0,Graduate,No,3672,1316,,360,1.0,Rural,Y
LP000022,Male,No,3+,Graduate,No,10507,1196,243.0,360,1.0,Urban,Y
LP000023,Male,No,0,Graduate,No,4141,3170,225.0,360,1.0,Semiurban,Y
LP000024,Male,No,0,Graduate,No,19355,9621,82.0,360,1.0,Urban,Y
LP000025,Male,Yes,0,Graduate,No,11238,355,107.0,180,1.0,Urban,Y
LP000026,,No,1,Not Graduate,No,7226,9718,250.0,360,1.0,Rural,Y
LP000027,Male,No,3+,Graduate,No,14289,28,77.0,360,0.0,Semiurban,N
LP000028,Male,Yes,0,Graduate,No,13517,1013,84.0,360,1.0,Rural,Y
LP000029,Male,No,1,Graduate,No,2863,9019,174.0,360,1.0,Semiurban,Y
LP000030,Male,Yes,0,Graduate,No,12858,2024,443.0,360,1.0,Urban,Y
LP000031,Male,Yes,0,Graduate,No,5809,8490,370.0,360,0.0,Semiurban,N
LP000032,Male,Yes,0,Graduate,Yes,19429,5839,91.0,360,1.0,Rural,Y
LP000033,Female,Yes,3+,Graduate,No,5740,5791,134.0,360,0.0,Semiurban,N
LP000034,Female,Yes,1,Graduate,No,9165,754,442.0,120,0.0,Rural,N
LP000035,Female,No,0,Graduate,No,15421,8961,237.0,360,0.0,Semiurban,N
LP000036,,Yes,0,Graduate,No,4436,3735,160.0,480,1.0,Semiurban,Y
LP000037,Male,No,0,Not Graduate,No,16468,1238,320.0,360,1.0,Rural,Y
LP000038,Male,Yes,0,Graduate,No,13697,1906,490.0,360,1.0,Rural,Y
LP000039,Male,Yes,0,Graduate,No,14498,7399,374.0,360,1.0,Semiurban,Y
LP000040,Male,Yes,2,Graduate,No,3382,7961,154.0,360,1.0,Urban,Y
LP000041,Male,No,0,Not Graduate,No,9423,9756,455.0,360,1.0,Semiurban,Y
LP000042,Male,Yes,0,Graduate,No,16208,9410,369.0,360,1.0,Semiurban,Y
LP000043,Female,Yes,0,Graduate,No,7704,4601,90.0,360,1.0,Rural,Y
LP000044,,No,2,Graduate,No,9788,9549,264.0,360,1.0,Semiurban,Y
LP000045,Male,Yes,1,Graduate,No,5703,1460,120.0,360,1.0,Urban,Y
LP000046,Male,Yes,0,Graduate,No,4744,7669,105.0,360,1.0,Rural,Y
LP000047,Male,Yes,1,Graduate,No,2518,1416,456.0,360,1.0,Rural,Y
LP000048,Male,No,0,Graduate,No,19525,7766,285.0,360,,Urban,Y
LP000049,Male,Yes,0,Graduate,No,5583,1428,330.0,240,0.0,Rural,N
LP000050,Female,No,0,Graduate,No,11021,4378,154.0,360,1.0,Semiurban,Y
LP000051,Male,Yes,0,Graduate,No,19749,7529,,360,1.0,Semiurban,Y
LP000052,Female,No,0,Graduate,No,3273,4474,424.0,360,1.0,Rural,Y
LP000053,Female,No,3+,Graduate,No,7232,3071,211.0,180,1.0,Semiurban,Y
LP000054,Male,No,2,Graduate,No,9295,555,240.0,240,1.0,Urban,Y
LP000055,Female,Yes,1,Not Graduate,Yes,9484,8547,58.0,480,1.0,Semiurban,Y
LP000056,Male,No,0,Graduate,No,5067,1563,109.0,360,1.0,Rural,Y
LP000057,Male,Yes,0,Graduate,Yes,18621,1040,430.0,360,1.0,Urban,Y
LP000058,Male,Yes,1,Graduate,No,4174,2686,354.0,360,1.0,Semiurban,Y
LP000059,Male,Yes,0,Not Graduate,No,13375,2553,274.0,480,1.0,Semiurban,Y
LP000060,Male,No,0,Graduate,No,14072,1779,356.0,360,1.0,Semiurban,Y
LP000061,Male,No,0,Graduate,No,3239,75,237.0,360,1.0,Semiurban,Y
LP000062,Female,No,2,Graduate,No,4045,4326,119.0,360,1.0,Rural,Y
LP000063,Male,Yes,0,Graduate,No,11827,5835,342.0,360,1.0,Semiurban,Y
LP000064,Male,Yes,0,Graduate,No,7627,5057,336.0,360,1.0,Semiurban,Y
LP000065,Male,No,2,Graduate,Yes,11565,2349,218.0,360,,Urban,N
LP000066,Male,Yes,0,Graduate,Yes,12992,2773,111.0,360,1.0,Semiurban,Y
LP000067,Female,Yes,0,Not Graduate,No,16249,2262,398.0,360,1.0,Rural,Y
LP000068,Male,Yes,0,Graduate,No,11545,3229,491.0,360,0.0,Urban,N
